batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,174,122,4,15,8.133333333333333,10.4,1
Mumbai Indians,Kings XI Punjab,SuperSport Park,120,117,2,15,7.8,0.6,1
Deccan Chargers,Delhi Daredevils,Kingsmead,174,145,3,15,9.666666666666666,5.8,0
Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,130,93,5,15,6.2,7.4,1
Mumbai Indians,Rajasthan Royals,Kingsmead,146,107,6,15,7.133333333333334,7.8,0
Kings XI Punjab,Delhi Daredevils,OUTsurance Oval,121,88,4,15,5.866666666666666,6.6,1
Chennai Super Kings,Mumbai Indians,St George's Park,148,110,3,15,7.333333333333333,7.6,1
Deccan Chargers,Kolkata Knight Riders,New Wanderers Stadium,161,113,2,15,7.533333333333333,9.6,1
Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,135,90,5,15,6.0,9.0,0
Rajasthan Royals,Delhi Daredevils,OUTsurance Oval,151,99,6,15,6.6,10.4,0
Kolkata Knight Riders,Chennai Super Kings,SuperSport Park,189,137,3,15,9.133333333333333,10.4,1
Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,135,105,3,15,7.0,6.0,1
Kolkata Knight Riders,Rajasthan Royals,Kingsmead,102,75,6,15,5.0,5.4,1
Kings XI Punjab,Chennai Super Kings,Kingsmead,117,61,6,15,4.066666666666666,11.2,0
Delhi Daredevils,Mumbai Indians,SuperSport Park,166,148,4,15,9.866666666666667,3.6,1
Deccan Chargers,Royal Challengers Bangalore,SuperSport Park,171,125,4,15,8.333333333333334,9.2,0
Deccan Chargers,Delhi Daredevils,SuperSport Park,154,148,4,15,9.866666666666667,1.2,1
Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,147,112,4,15,7.466666666666667,7.0,1
Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,144,108,7,15,7.2,7.2,0
Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,162,128,4,15,8.533333333333333,6.8,0
Rajasthan Royals,Mumbai Indians,Brabourne Stadium,213,154,4,15,10.266666666666667,11.8,0
Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",143,114,4,15,7.6,5.8,1
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,136,118,2,15,7.866666666666666,3.6,1
